dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.19777250289917,11.067156314849854
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1239079236984253,11.630244493484495
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.164584755897522,16.001837253570557
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.2510604858398438,23.00386500358581
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.199061632156372,20.373322010040283
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.19032621383667,19.7212507724762
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.221176266670227,26.01600217819214
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.181875467300415,26.36538910865784
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.2497893571853638,21.630619287490845
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1724483966827393,22.414294481277462
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.3080142736434937,26.830458402633667
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.302920937538147,27.697436809539795
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.2400363683700562,20.42592215538025
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.2681316137313845,21.192307233810425
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.2115013599395752,25.342724323272705
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.1535444259643557,27.358458518981934
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.104272484779358,19.92164921760559
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.3516035079956057,19.87964105606079
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1575719118118286,23.774506330490112
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.143772006034851,23.41623282432556
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1350281238555908,20.41981291770935
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1049070358276367,19.66867089271545
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1338962316513062,21.8632493019104
fivenodes,IT-STGCN,0.7,rand,2,12,nearest,50,1.181668400764465,17.73429560661316
fivenodes,STGCN,0.7,rand,2,12,linear,50,1.1938079595565796,14.972716093063354
fivenodes,STGCN,0.7,rand,2,12,nearest,50,1.1818121671676636,14.931668043136597
fivenodes,IT-STGCN,0.7,rand,2,12,linear,50,1.1455235481262207,19.028367042541504
